查询序号,主题词,卡片名,命中结果数,最高分,一级主题,对应主题页,主题页路径,置信度,匹配分,匹配依据,相近主题词,相近卡片,备选主题页,命中词,主要书名,页码,是否有结果,处理建议,Claude检索建议,是否新增主题
30,剩余价值 资本主义生产关系 本质,0030_剩余价值_资本主义生产关系_本质.md,3,51.98,理论方法,政治经济学与资本主义批判,理论方法/政治经济学与资本主义批判.md,中,59.0,自动主题组匹配：剩余价值、生产、资本主义、生产关系、资本,剩余价值 生产(27.14)；资本论 剩余价值(26.67)；劳动 剩余价值 生产(26.25)；剩余价值 劳动(25.0)；剩余价值 商品(25.0),1671_剩余价值_生产.md；1670_资本论_剩余价值.md；0018_劳动_剩余价值_生产.md；1625_剩余价值_劳动.md；1702_剩余价值_商品.md,,剩余价值、资本主义生产关系、本质,马恩文集第五卷（资本论1）；马恩文集第一卷（1843-1848）；马恩文集第八卷（《资本论》手稿选编）,7；826；765,是,可按主题页优先检索,先查主题页《政治经济学与资本主义批判》，再在 T3/T10 中检索：剩余价值|资本主义生产关系|本质,否
31,历史哲学教程 唯物史观,0031_历史哲学教程_唯物史观.md,3,49.03,理论方法,唯物史观与中国史学研究,理论方法/唯物史观与中国史学研究.md,中,20.0,二级自动主题组匹配：历史哲学教程、唯物史观,唯物史观 历史学 研究应用(26.67)；李大钊 唯物史观 历史研究(26.67)；唯物史观 谈政治(26.25)；唯物史观 研究 中国传统哲学(26.25)；唯物史观 李大钊(26.25),0005_唯物史观_历史学_研究应用.md；0304_李大钊_唯物史观_历史研究.md；0032_唯物史观_谈政治.md；0042_唯物史观_研究_中国传统哲学.md；1775_唯物史观_李大钊.md,,历史哲学教程、唯物史观,中国马克思主义哲学教科书编写之起步、发展与演化（1922—1949）；马克思主义哲学中国化理论与历史；延安时期知识分子群体与马克思主义哲学大众化郭 - 2015 -,4；293；143,是,可按主题页优先检索,先查主题页《唯物史观与中国史学研究》，再在 T3/T10 中检索：历史哲学教程|唯物史观,否
32,唯物史观 谈政治,0032_唯物史观_谈政治.md,3,44.84,理论方法,唯物史观与中国史学研究,理论方法/唯物史观与中国史学研究.md,低,18.0,二级自动主题组匹配：谈政治、唯物史观,唯物史观 李大钊(28.33)；唯物史观 传播热潮(27.5)；李大钊 唯物史观 研究(26.82)；李达 唯物史观 社会学(26.82)；唯物史观 生产力 生产关系(26.25),1775_唯物史观_李大钊.md；0064_唯物史观_传播热潮.md；0258_李大钊_唯物史观_研究.md；0284_李达_唯物史观_社会学.md；0026_唯物史观_生产力_生产关系.md,,唯物史观、谈政治,马克思主义在中国早期传播若干问题的辨析_田子渝；马列著作在中国的出版；马克思主义哲学中国化与中国哲学的现代转型,10；155；261-263,是,先核验原卡片再使用,先查主题页《唯物史观与中国史学研究》，再在 T3/T10 中检索：唯物史观|谈政治,否
33,唯物史观 基本理论 系统阐述,0033_唯物史观_基本理论_系统阐述.md,3,48.0,理论方法,唯物史观与中国史学研究,理论方法/唯物史观与中国史学研究.md,低,18.0,二级自动主题组匹配：唯物史观,唯物史观 阶级 阶级斗争 理论(25.88)；唯物史观 谈政治(25.36)；唯物史观 李大钊(25.36)；新民主主义理论体系 系统阐述(25.26)；唯物史观 传播热潮(25.0),0034_唯物史观_阶级_阶级斗争_理论.md；0032_唯物史观_谈政治.md；1775_唯物史观_李大钊.md；0514_新民主主义理论体系_系统阐述.md；0064_唯物史观_传播热潮.md,,唯物史观、基本理论、系统阐述,马克思主义哲学史（第六卷；中国马克思主义学术史纲；马克思主义哲学中国化与中国哲学的现代转型,38-41；142-146；403-404,是,先核验原卡片再使用,先查主题页《唯物史观与中国史学研究》，再在 T3/T10 中检索：唯物史观|基本理论|系统阐述,否
34,唯物史观 阶级 阶级斗争 理论,0034_唯物史观_阶级_阶级斗争_理论.md,3,60.0,理论方法,唯物史观在中国的传播与应用,理论方法/唯物史观在中国的传播与应用.md,高,130.0,已列入原主题页重点卡片；命中主题种子词：唯物史观、阶级斗争；主题词重合：唯物史观、阶级斗争；主题域增强：唯物史观,陈独秀 唯物史观 阶级斗争(53.46)；李大钊 唯物史观 阶级斗争(53.46)；李大钊 阶级斗争 唯物史观(50.71)；陈独秀 唯物史观 剩余价值 阶级斗争(48.33)；唯物史观 基本理论 系统阐述(25.88),0282_陈独秀_唯物史观_阶级斗争.md；0326_李大钊_唯物史观_阶级斗争.md；0280_李大钊_阶级斗争_唯物史观.md；0327_陈独秀_唯物史观_剩余价值_阶级斗争.md；0033_唯物史观_基本理论_系统阐述.md,,唯物史观、阶级、阶级斗争、理论,马克思主义哲学史（第六卷；马克思主义哲学中国化与中国哲学的现代转型；马克思主义哲学史教程,44-47；404-406；840-841,是,可按主题页优先检索,先查主题页《唯物史观在中国的传播与应用》，再在 T3/T10 中检索：唯物史观|阶级|阶级斗争|理论,否
35,无政府主义 反对阶级斗争 批判,0035_无政府主义_反对阶级斗争_批判.md,3,39.4,传播史,早期马克思主义传播主体与传播载体,传播史/早期马克思主义传播主体与传播载体.md,低,10.0,二级自动主题组匹配：无政府主义,无政府主义 思潮 批判(33.33)；无政府主义 理论批判 列宁(32.35)；无政府主义 绝对自由 批判(32.35)；无政府主义 论争 哲学意义(30.56)；国家主义派 阶级斗争 批判(9.38),1127_无政府主义_思潮_批判.md；0880_无政府主义_理论批判_列宁.md；1290_无政府主义_绝对自由_批判.md；1289_无政府主义_论争_哲学意义.md；0037_国家主义派_阶级斗争_批判.md,,无政府主义、反对阶级斗争、批判,马克思主义中国化史；马克思主义哲学史(第五卷)；马恩文集第二卷（1848-1859）,未识别；82-84；83,是,先核验原卡片再使用,先查主题页《早期马克思主义传播主体与传播载体》，再在 T3/T10 中检索：无政府主义|反对阶级斗争|批判,否
36,自由意志论 批判 唯物史观,0036_自由意志论_批判_唯物史观.md,3,40.6,论战与思想运动,中国近代启蒙与民主革命,论战与思想运动/中国近代启蒙与民主革命.md,低,18.0,自动主题组匹配：自由,戴季陶主义 唯物史观 批判(26.25)；德意志意识形态 唯物史观(26.25)；唯物史观 谈政治(25.77)；唯物史观 李大钊(25.77)；唯物史观 传播热潮(25.36),0038_戴季陶主义_唯物史观_批判.md；1661_德意志意识形态_唯物史观.md；0032_唯物史观_谈政治.md；1775_唯物史观_李大钊.md；0064_唯物史观_传播热潮.md,,自由意志论、批判、唯物史观,百年中国哲学革命；马克思主义哲学史教程；马克思主义哲学史（第六卷,69-71；305-307；177-178,是,先核验原卡片再使用,先查主题页《中国近代启蒙与民主革命》，再在 T3/T10 中检索：自由意志论|批判|唯物史观,否
37,国家主义派 阶级斗争 批判,0037_国家主义派_阶级斗争_批判.md,3,43.8,理论方法,阶级斗争与社会革命理论,理论方法/阶级斗争与社会革命理论.md,高,118.0,已列入原主题页重点卡片；命中主题种子词：阶级斗争、阶级、国家；主题词重合：阶级斗争,国家主义派 超阶级国家观 批判(35.0)；国家主义派 国际主义 批判(33.93)；国家主义派 中国共产党 批判(32.81)；国家主义派 二元论 唯心论(31.25)；阶级斗争 国家 阶级属性(27.14),1293_国家主义派_超阶级国家观_批判.md；1294_国家主义派_国际主义_批判.md；1138_国家主义派_中国共产党_批判.md；1295_国家主义派_二元论_唯心论.md；0028_阶级斗争_国家_阶级属性.md,,国家主义派、阶级斗争、批判,马克思主义哲学史（第六卷；马克思主义中国化史；马克思主义哲学史(第五卷),188-190；未识别；375-376,是,可按主题页优先检索,先查主题页《阶级斗争与社会革命理论》，再在 T3/T10 中检索：国家主义派|阶级斗争|批判,否
38,戴季陶主义 唯物史观 批判,0038_戴季陶主义_唯物史观_批判.md,3,49.09,理论方法,唯物史观与中国史学研究,理论方法/唯物史观与中国史学研究.md,低,18.0,二级自动主题组匹配：唯物史观,戴季陶主义 中国共产党 批判(32.81)；拉布里奥拉 历史主义 唯物史观(27.35)；自由意志论 批判 唯物史观(26.25)；唯物史观 谈政治(25.77)；唯物史观 李大钊(25.77),1137_戴季陶主义_中国共产党_批判.md；0020_拉布里奥拉_历史主义_唯物史观.md；0036_自由意志论_批判_唯物史观.md；0032_唯物史观_谈政治.md；1775_唯物史观_李大钊.md,,戴季陶主义、唯物史观、批判,中国文化与马克思主义；冯契文集第七卷中国近代哲学的革命进程；马克思主义中国化探论,224；563；184,是,先核验原卡片再使用,先查主题页《唯物史观与中国史学研究》，再在 T3/T10 中检索：戴季陶主义|唯物史观|批判,否
39,戴季陶 阶级斗争 道统说 批判,0039_戴季陶_阶级斗争_道统说_批判.md,3,48.8,理论方法,阶级斗争与社会革命理论,理论方法/阶级斗争与社会革命理论.md,高,115.0,已列入原主题页重点卡片；命中主题种子词：阶级斗争、阶级；主题词重合：阶级斗争,国家主义派 阶级斗争 批判(25.88)；阶级斗争 方法 马克思(24.69)；阶级斗争 国家 阶级属性(24.69)；共产党宣言 阶级斗争(24.69)；阶级斗争 简单化 公式化(24.41),0037_国家主义派_阶级斗争_批判.md；0017_阶级斗争_方法_马克思.md；0028_阶级斗争_国家_阶级属性.md；1662_共产党宣言_阶级斗争.md；0043_阶级斗争_简单化_公式化.md,,戴季陶、阶级斗争、道统说、批判,马克思主义哲学史（第六卷；中国文化与马克思主义；马克思主义中国化史,203-205；311；未识别,是,可按主题页优先检索,先查主题页《阶级斗争与社会革命理论》，再在 T3/T10 中检索：戴季陶|阶级斗争|道统说|批判,否
40,个人崇拜 背离唯物史观,0040_个人崇拜_背离唯物史观.md,3,32.0,理论方法,唯物史观与中国史学研究,理论方法/唯物史观与中国史学研究.md,低,12.0,二级自动主题组匹配：唯物史观,个人智慧 集体智慧 个人崇拜(25.0)；唯物史观 谈政治(6.25)；唯物史观 李大钊(6.25)；唯物史观 传播热潮(5.77)；李大钊 唯物史观 研究(5.36),1359_个人智慧_集体智慧_个人崇拜.md；0032_唯物史观_谈政治.md；1775_唯物史观_李大钊.md；0064_唯物史观_传播热潮.md；0258_李大钊_唯物史观_研究.md,,个人崇拜、背离唯物史观,马克思主义哲学史；马恩文集第十卷（书信选编）；文化契合、文化融合与文化重构——对马克思主义中国化的文化思考_张琳,311-314；1009；2,是,先核验原卡片再使用,先查主题页《唯物史观与中国史学研究》，再在 T3/T10 中检索：个人崇拜|背离唯物史观,否
41,唯物史观派 马克思主义,0041_唯物史观派_马克思主义.md,3,51.39,理论方法,马克思恩格斯经典文本与哲学关系,理论方法/马克思恩格斯经典文本与哲学关系.md,低,12.0,自动主题组匹配：马克思,玄学派 科学派 唯物史观派(32.14)；陈独秀 瞿秋白 唯物史观派(31.67)；李大钊 唯物史观 马克思主义哲学(11.67)；上海 马克思主义者(8.33)；我的马克思主义观(8.33),0191_玄学派_科学派_唯物史观派.md；0329_陈独秀_瞿秋白_唯物史观派.md；0279_李大钊_唯物史观_马克思主义哲学.md；1740_上海_马克思主义者.md；1933_我的马克思主义观.md,,唯物史观派、马克思主义,马克思主义中国化探论；马克思主义哲学中国化理论与历史；马克思主义哲学中国化与中国哲学的现代转型,228；165；283-284,是,先核验原卡片再使用,先查主题页《马克思恩格斯经典文本与哲学关系》，再在 T3/T10 中检索：唯物史观派|马克思主义,否
42,唯物史观 研究 中国传统哲学,0042_唯物史观_研究_中国传统哲学.md,3,62.2,理论方法,历史唯物主义体系,理论方法/历史唯物主义体系.md,高,114.0,已列入原主题页重点卡片；命中主题种子词：唯物史观；主题词重合：唯物史观,中国传统哲学 精华 发掘(38.33)；毛泽东 实践论 中国传统哲学(37.35)；马克思主义哲学 中国传统哲学 结合(36.58)；马克思主义哲学 中国传统哲学 形态(36.58)；中国传统哲学 认识论 知行观 批判总结(35.95),1492_中国传统哲学_精华_发掘.md；0570_毛泽东_实践论_中国传统哲学.md；1417_马克思主义哲学_中国传统哲学_结合.md；1797_马克思主义哲学_中国传统哲学_形态.md；1430_中国传统哲学_认识论_知行观_批判总结.md,,唯物史观、研究、中国传统哲学,马克思主义哲学的中国化及其历程；马克思主义哲学中国化与中国哲学的现代转型；马克思主义哲学中国化理论与历史,228-230；411-413；126,是,可按主题页优先检索,先查主题页《历史唯物主义体系》，再在 T3/T10 中检索：唯物史观|研究|中国传统哲学,否
